number,musician,date
1,Drake,2021-10-21
2,Taylor Swift,2021-10-21
3,Kanye West,2021-10-21
4,Adele,2021-10-21
5,Young Thug,2021-10-21
6,Juice WRLD,2021-10-21
7,Mac Miller,2021-10-21
8,Doja Cat,2021-10-21
9,Bad Bunny,2021-10-21
10,The Weeknd,2021-10-21
1,Drake,2021-10-28
2,Taylor Swift,2021-10-28
3,Kanye West,2021-10-28
4,Juice WRLD,2021-10-28
5,The Weeknd,2021-10-28
6,Doja Cat,2021-10-28
7,Adele,2021-10-28
8,Bad Bunny,2021-10-28
9,Polo G,2021-10-28
10,Young Thug,2021-10-28
1,Drake,2021-11-04
2,Taylor Swift,2021-11-04
3,Kanye West,2021-11-04
4,Juice WRLD,2021-11-04
5,Ed Sheeran,2021-11-04
6,The Weeknd,2021-11-04
7,Doja Cat,2021-11-04
8,Bad Bunny,2021-11-04
9,Polo G,2021-11-04
10,Lil Baby,2021-11-04
1,Taylor Swift,2021-11-11
2,Drake,2021-11-11
3,Kanye West,2021-11-11
4,The Weeknd,2021-11-11
5,Summer Walker,2021-11-11
6,Juice WRLD,2021-11-11
7,Travis Scott,2021-11-11
8,Doja Cat,2021-11-11
9,Polo G,2021-11-11
10,Bad Bunny,2021-11-11
1,Taylor Swift,2021-11-18
2,Drake,2021-11-18
3,Juice WRLD,2021-11-18
4,Kanye West,2021-11-18
5,Bruno Mars,2021-11-18
6,The Weeknd,2021-11-18
7,Polo G,2021-11-18
8,Anderson .Paak,2021-11-18
9,Ed Sheeran,2021-11-18
10,Silk Sonic,2021-11-18
1,Taylor Swift,2021-11-25
2,Adele,2021-11-25
3,Drake,2021-11-25
4,Kanye West,2021-11-25
5,Juice WRLD,2021-11-25
6,The Weeknd,2021-11-25
7,Polo G,2021-11-25
8,Doja Cat,2021-11-25
9,Bad Bunny,2021-11-25
10,Bruno Mars,2021-11-25
1,Taylor Swift,2021-12-02
2,Drake,2021-12-02
3,Juice WRLD,2021-12-02
4,Kanye West,2021-12-02
5,Adele,2021-12-02
6,The Weeknd,2021-12-02
7,Doja Cat,2021-12-02
8,Polo G,2021-12-02
9,Bad Bunny,2021-12-02
10,Ariana Grande,2021-12-02
1,Taylor Swift,2021-12-09
2,Drake,2021-12-09
3,Polo G,2021-12-09
4,Juice WRLD,2021-12-09
5,Kanye West,2021-12-09
6,The Weeknd,2021-12-09
7,Justin Bieber,2021-12-09
8,Doja Cat,2021-12-09
9,Ariana Grande,2021-12-09
10,Bad Bunny,2021-12-09
1,Juice WRLD,2021-12-16
2,Taylor Swift,2021-12-16
3,Drake,2021-12-16
4,Kanye West,2021-12-16
5,Polo G,2021-12-16
6,The Weeknd,2021-12-16
7,Justin Bieber,2021-12-16
8,Bad Bunny,2021-12-16
9,Ariana Grande,2021-12-16
10,Doja Cat,2021-12-16
1,Juice WRLD,2021-12-23
2,Taylor Swift,2021-12-23
3,Drake,2021-12-23
4,Kanye West,2021-12-23
5,Polo G,2021-12-23
6,The Weeknd,2021-12-23
7,Ariana Grande,2021-12-23
8,Justin Bieber,2021-12-23
9,Morgan Wallen,2021-12-23
10,Bad Bunny,2021-12-23
1,Taylor Swift,2021-12-30
2,Juice WRLD,2021-12-30
3,Drake,2021-12-30
4,Kanye West,2021-12-30
5,Polo G,2021-12-30
6,The Weeknd,2021-12-30
7,Ariana Grande,2021-12-30
8,Justin Bieber,2021-12-30
9,Bad Bunny,2021-12-30
10,Doja Cat,2021-12-30
1,Taylor Swift,2022-01-06
2,Drake,2022-01-06
3,Juice WRLD,2022-01-06
4,Kanye West,2022-01-06
5,The Weeknd,2022-01-06
6,Lin-Manuel Miranda,2022-01-06
7,Polo G,2022-01-06
8,Doja Cat,2022-01-06
9,Bad Bunny,2022-01-06
10,Morgan Wallen,2022-01-06
1,The Weeknd,2022-01-13
2,Taylor Swift,2022-01-13
3,Drake,2022-01-13
4,Gunna,2022-01-13
5,Juice WRLD,2022-01-13
6,Lin-Manuel Miranda,2022-01-13
7,Kanye West,2022-01-13
8,Polo G,2022-01-13
9,Bad Bunny,2022-01-13
10,Doja Cat,2022-01-13
1,The Weeknd,2022-01-20
2,Taylor Swift,2022-01-20
3,Drake,2022-01-20
4,Juice WRLD,2022-01-20
5,Kanye West,2022-01-20
6,Gunna,2022-01-20
7,Lin-Manuel Miranda,2022-01-20
8,Polo G,2022-01-20
9,Bad Bunny,2022-01-20
10,Doja Cat,2022-01-20
1,Taylor Swift,2022-01-27
2,Drake,2022-01-27
3,The Weeknd,2022-01-27
4,Juice WRLD,2022-01-27
5,Lin-Manuel Miranda,2022-01-27
6,Kanye West,2022-01-27
7,YoungBoy Never Broke Again,2022-01-27
8,Gunna,2022-01-27
9,Bad Bunny,2022-01-27
10,Polo G,2022-01-27
1,Drake,2022-02-03
2,Taylor Swift,2022-02-03
3,Juice WRLD,2022-02-03
4,The Weeknd,2022-02-03
5,Lin-Manuel Miranda,2022-02-03
6,Kanye West,2022-02-03
7,Bad Bunny,2022-02-03
8,YoungBoy Never Broke Again,2022-02-03
9,Gunna,2022-02-03
10,Polo G,2022-02-03
1,Drake,2022-02-10
2,Taylor Swift,2022-02-10
3,Juice WRLD,2022-02-10
4,The Weeknd,2022-02-10
5,Kanye West,2022-02-10
6,Lin-Manuel Miranda,2022-02-10
7,Bad Bunny,2022-02-10
8,Lil Baby,2022-02-10
9,YoungBoy Never Broke Again,2022-02-10
10,Polo G,2022-02-10
1,Drake,2022-02-17
2,Taylor Swift,2022-02-17
3,Juice WRLD,2022-02-17
4,Kanye West,2022-02-17
5,The Weeknd,2022-02-17
6,Bad Bunny,2022-02-17
7,Lin-Manuel Miranda,2022-02-17
8,Eminem,2022-02-17
9,Lil Baby,2022-02-17
10,Future,2022-02-17
1,Drake,2022-02-24
2,Kanye West,2022-02-24
3,Taylor Swift,2022-02-24
4,Juice WRLD,2022-02-24
5,The Weeknd,2022-02-24
6,Bad Bunny,2022-02-24
7,Lin-Manuel Miranda,2022-02-24
8,Eminem,2022-02-24
9,Lil Baby,2022-02-24
10,Gunna,2022-02-24
1,Kanye West,2022-03-03
2,Drake,2022-03-03
3,Taylor Swift,2022-03-03
4,Juice WRLD,2022-03-03
5,Bad Bunny,2022-03-03
6,The Weeknd,2022-03-03
7,Lin-Manuel Miranda,2022-03-03
8,Lil Baby,2022-03-03
9,YoungBoy Never Broke Again,2022-03-03
10,Eminem,2022-03-03
1,Drake,2022-03-10
2,Kanye West,2022-03-10
3,Taylor Swift,2022-03-10
4,Juice WRLD,2022-03-10
5,The Weeknd,2022-03-10
6,Bad Bunny,2022-03-10
7,YoungBoy Never Broke Again,2022-03-10
8,Lin-Manuel Miranda,2022-03-10
9,Lil Baby,2022-03-10
10,Doja Cat,2022-03-10
1,Drake,2022-03-17
2,Kanye West,2022-03-17
3,Taylor Swift,2022-03-17
4,Juice WRLD,2022-03-17
5,Bad Bunny,2022-03-17
6,The Weeknd,2022-03-17
7,Lil Durk,2022-03-17
8,YoungBoy Never Broke Again,2022-03-17
9,Doja Cat,2022-03-17
10,Lil Baby,2022-03-17
1,Drake,2022-03-24
2,Juice WRLD,2022-03-24
3,Kanye West,2022-03-24
4,Taylor Swift,2022-03-24
5,Bad Bunny,2022-03-24
6,The Weeknd,2022-03-24
7,YoungBoy Never Broke Again,2022-03-24
8,Lil Durk,2022-03-24
9,Lil Baby,2022-03-24
10,Doja Cat,2022-03-24
1,Drake,2022-03-31
2,Kanye West,2022-03-31
3,Taylor Swift,2022-03-31
4,Juice WRLD,2022-03-31
5,Bad Bunny,2022-03-31
6,The Weeknd,2022-03-31
7,Machine Gun Kelly,2022-03-31
8,"Tyler, The Creator",2022-03-31
9,YoungBoy Never Broke Again,2022-03-31
10,Lil Baby,2022-03-31
1,Drake,2022-04-07
2,Taylor Swift,2022-04-07
3,Kanye West,2022-04-07
4,Juice WRLD,2022-04-07
5,Bad Bunny,2022-04-07
6,The Weeknd,2022-04-07
7,Harry Styles,2022-04-07
8,YoungBoy Never Broke Again,2022-04-07
9,J. Cole,2022-04-07
10,"Tyler, The Creator",2022-04-07
1,Drake,2022-04-14
2,Taylor Swift,2022-04-14
3,Kanye West,2022-04-14
4,Juice WRLD,2022-04-14
5,Jack Harlow,2022-04-14
6,Bad Bunny,2022-04-14
7,The Weeknd,2022-04-14
8,Lil Baby,2022-04-14
9,J. Cole,2022-04-14
10,YoungBoy Never Broke Again,2022-04-14
1,Drake,2022-04-21
2,Taylor Swift,2022-04-21
3,Kanye West,2022-04-21
4,Juice WRLD,2022-04-21
5,Bad Bunny,2022-04-21
6,The Weeknd,2022-04-21
7,Morgan Wallen,2022-04-21
8,Lil Baby,2022-04-21
9,Jack Harlow,2022-04-21
10,YoungBoy Never Broke Again,2022-04-21
1,Drake,2022-04-28
2,Kanye West,2022-04-28
3,Taylor Swift,2022-04-28
4,Juice WRLD,2022-04-28
5,The Weeknd,2022-04-28
6,Bad Bunny,2022-04-28
7,Lil Baby,2022-04-28
8,Morgan Wallen,2022-04-28
9,J. Cole,2022-04-28
10,YoungBoy Never Broke Again,2022-04-28
1,Future,2022-05-05
2,Drake,2022-05-05
3,Kanye West,2022-05-05
4,Taylor Swift,2022-05-05
5,Juice WRLD,2022-05-05
6,Bad Bunny,2022-05-05
7,The Weeknd,2022-05-05
8,Lil Baby,2022-05-05
9,Morgan Wallen,2022-05-05
10,J. Cole,2022-05-05
1,Bad Bunny,2022-05-12
2,Drake,2022-05-12
3,Jack Harlow,2022-05-12
4,Taylor Swift,2022-05-12
5,Future,2022-05-12
6,Kanye West,2022-05-12
7,Juice WRLD,2022-05-12
8,Morgan Wallen,2022-05-12
9,The Weeknd,2022-05-12
10,Kendrick Lamar,2022-05-12
1,Kendrick Lamar,2022-05-19
2,Bad Bunny,2022-05-19
3,Drake,2022-05-19
4,Taylor Swift,2022-05-19
5,Kanye West,2022-05-19
6,Morgan Wallen,2022-05-19
7,Future,2022-05-19
8,Juice WRLD,2022-05-19
9,The Weeknd,2022-05-19
10,Jack Harlow,2022-05-19
1,Harry Styles,2022-05-26
2,Bad Bunny,2022-05-26
3,Kendrick Lamar,2022-05-26
4,Drake,2022-05-26
5,Taylor Swift,2022-05-26
6,Kanye West,2022-05-26
7,Future,2022-05-26
8,Morgan Wallen,2022-05-26
9,Juice WRLD,2022-05-26
10,Zach Bryan,2022-05-26
1,Bad Bunny,2022-06-02
2,Harry Styles,2022-06-02
3,Drake,2022-06-02
4,Kendrick Lamar,2022-06-02
5,Kanye West,2022-06-02
6,Taylor Swift,2022-06-02
7,Morgan Wallen,2022-06-02
8,Future,2022-06-02
9,Juice WRLD,2022-06-02
10,The Weeknd,2022-06-02
1,Bad Bunny,2022-06-09
2,Post Malone,2022-06-09
3,Harry Styles,2022-06-09
4,Drake,2022-06-09
5,Kanye West,2022-06-09
6,Kendrick Lamar,2022-06-09
7,Taylor Swift,2022-06-09
8,The Weeknd,2022-06-09
9,Morgan Wallen,2022-06-09
10,Juice WRLD,2022-06-09
1,Bad Bunny,2022-06-16
2,Drake,2022-06-16
3,Harry Styles,2022-06-16
4,Post Malone,2022-06-16
5,Taylor Swift,2022-06-16
6,Kanye West,2022-06-16
7,Kendrick Lamar,2022-06-16
8,Morgan Wallen,2022-06-16
9,Juice WRLD,2022-06-16
10,The Weeknd,2022-06-16
1,Drake,2022-06-23
2,Bad Bunny,2022-06-23
3,Taylor Swift,2022-06-23
4,Harry Styles,2022-06-23
5,Kanye West,2022-06-23
6,Post Malone,2022-06-23
7,Kendrick Lamar,2022-06-23
8,Morgan Wallen,2022-06-23
9,Juice WRLD,2022-06-23
10,The Weeknd,2022-06-23
1,Drake,2022-06-30
2,Bad Bunny,2022-06-30
3,Taylor Swift,2022-06-30
4,Kanye West,2022-06-30
5,Harry Styles,2022-06-30
6,Post Malone,2022-06-30
7,Morgan Wallen,2022-06-30
8,The Weeknd,2022-06-30
9,Kendrick Lamar,2022-06-30
10,Juice WRLD,2022-06-30
1,Bad Bunny,2022-07-07
2,Drake,2022-07-07
3,Taylor Swift,2022-07-07
4,Kanye West,2022-07-07
5,Morgan Wallen,2022-07-07
6,The Weeknd,2022-07-07
7,Harry Styles,2022-07-07
8,Juice WRLD,2022-07-07
9,Post Malone,2022-07-07
10,Kendrick Lamar,2022-07-07
1,Bad Bunny,2022-07-14
2,Drake,2022-07-14
3,Taylor Swift,2022-07-14
4,Kanye West,2022-07-14
5,Brent Faiyaz,2022-07-14
6,The Weeknd,2022-07-14
7,Morgan Wallen,2022-07-14
8,Juice WRLD,2022-07-14
9,Harry Styles,2022-07-14
10,Post Malone,2022-07-14
1,Bad Bunny,2022-07-21
2,Drake,2022-07-21
3,Taylor Swift,2022-07-21
4,Kanye West,2022-07-21
5,The Weeknd,2022-07-21
6,Morgan Wallen,2022-07-21
7,Juice WRLD,2022-07-21
8,Harry Styles,2022-07-21
9,Post Malone,2022-07-21
10,Kendrick Lamar,2022-07-21
1,Bad Bunny,2022-07-28
2,Drake,2022-07-28
3,Taylor Swift,2022-07-28
4,The Weeknd,2022-07-28
5,Kanye West,2022-07-28
6,Morgan Wallen,2022-07-28
7,Juice WRLD,2022-07-28
8,Kendrick Lamar,2022-07-28
9,Harry Styles,2022-07-28
10,Post Malone,2022-07-28
1,Bad Bunny,2022-08-04
2,Drake,2022-08-04
3,Beyoncé,2022-08-04
4,Taylor Swift,2022-08-04
5,The Weeknd,2022-08-04
6,Kanye West,2022-08-04
7,$uicideboy$,2022-08-04
8,Morgan Wallen,2022-08-04
9,Juice WRLD,2022-08-04
10,Lil Baby,2022-08-04
1,Bad Bunny,2022-08-11
2,Drake,2022-08-11
3,Taylor Swift,2022-08-11
4,The Weeknd,2022-08-11
5,Kanye West,2022-08-11
6,YoungBoy Never Broke Again,2022-08-11
7,Beyoncé,2022-08-11
8,Lil Baby,2022-08-11
9,Morgan Wallen,2022-08-11
10,Juice WRLD,2022-08-11
1,Bad Bunny,2022-08-18
2,Drake,2022-08-18
3,Taylor Swift,2022-08-18
4,Kanye West,2022-08-18
5,The Weeknd,2022-08-18
6,Morgan Wallen,2022-08-18
7,Juice WRLD,2022-08-18
8,Lil Baby,2022-08-18
9,$uicideboy$,2022-08-18
10,Kendrick Lamar,2022-08-18
1,Bad Bunny,2022-08-25
2,Drake,2022-08-25
3,Taylor Swift,2022-08-25
4,Kanye West,2022-08-25
5,The Weeknd,2022-08-25
6,Juice WRLD,2022-08-25
7,Lil Baby,2022-08-25
8,Morgan Wallen,2022-08-25
9,Kendrick Lamar,2022-08-25
10,$uicideboy$,2022-08-25
1,Bad Bunny,2022-09-01
2,Drake,2022-09-01
3,Taylor Swift,2022-09-01
4,Kanye West,2022-09-01
5,The Weeknd,2022-09-01
6,Lil Baby,2022-09-01
7,Juice WRLD,2022-09-01
8,Future,2022-09-01
9,DJ Khaled,2022-09-01
10,Morgan Wallen,2022-09-01
1,Bad Bunny,2022-09-08
2,Drake,2022-09-08
3,Taylor Swift,2022-09-08
4,Kanye West,2022-09-08
5,The Weeknd,2022-09-08
6,Lil Baby,2022-09-08
7,Juice WRLD,2022-09-08
8,Morgan Wallen,2022-09-08
9,Harry Styles,2022-09-08
10,Kendrick Lamar,2022-09-08
